Year,Month,Region,Model,Units_Sold,Avg_Price_EUR,Revenue_EUR,BEV_Share,Premium_Share,GDP_Growth,Fuel_Price_Index,Date
2018,February,Europe,i4,7945,64282.0,510720490.0,0.007,15.6,4.48,0.98,2018-02-01
2018,February,Europe,iX,9524,73317.0,698271108.0,0.021,15.6,4.48,0.98,2018-02-01
2018,February,Europe,MINI,5935,43296.0,256961760.0,0.008,15.6,4.48,0.98,2018-02-01
2018,February,China,3 Series,3795,47520.0,180338400.0,0.011,20.6,2.66,0.98,2018-02-01
2018,February,China,5 Series,8630,60563.0,522658690.0,0.034,20.6,2.66,0.98,2018-02-01
2018,February,China,X3,3601,59184.0,213121584.0,0.02,20.6,2.66,0.98,2018-02-01
2018,February,China,X5,3929,70696.0,277764584.0,0.003,20.6,2.66,0.98,2018-02-01
2018,February,China,X7,3038,91589.0,278247382.0,0.021,20.6,2.66,0.98,2018-02-01
2018,February,China,i4,3186,64759.0,206322174.0,0.045,20.6,2.66,0.98,2018-02-01
2018,February,China,iX,9397,74076.0,696092172.0,0.034,20.6,2.66,0.98,2018-02-01
2018,February,China,MINI,3996,42777.0,170936892.0,0.031,20.6,2.66,0.98,2018-02-01
2018,February,USA,3 Series,10885,49681.0,540777685.0,0.019,15.66,4.14,1.02,2018-02-01
2018,February,USA,5 Series,2562,63029.0,161480298.0,0.034,15.66,4.14,1.02,2018-02-01
2018,February,USA,X3,4208,59272.0,249416576.0,0.025,15.66,4.14,1.02,2018-02-01
2018,February,USA,X5,11247,67186.0,755640942.0,0.025,15.66,4.14,1.02,2018-02-01
2018,February,USA,X7,4760,93002.0,442689520.0,0.021,15.66,4.14,1.02,2018-02-01
2018,February,USA,i4,8593,64369.0,553122817.0,0.015,15.66,4.14,1.02,2018-02-01
2018,February,USA,iX,4261,74734.0,318441574.0,0.015,15.66,4.14,1.02,2018-02-01
2018,February,USA,MINI,4125,40488.0,167013000.0,0.031,15.66,4.14,1.02,2018-02-01
2018,February,RestOfWorld,3 Series,6874,47969.0,329738906.0,0.032,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,5 Series,7632,63369.0,483632208.0,0.029,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,X3,2623,57016.0,149552968.0,0.03,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,X5,4321,69944.0,302228024.0,0.025,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,X7,7526,91183.0,686243258.0,0.021,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,i4,9175,65056.0,596888800.0,0.025,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,iX,9405,74154.0,697418370.0,0.033,6.87,2.08,1.05,2018-02-01
2018,February,RestOfWorld,MINI,6649,42199.0,280581151.0,0.011,6.87,2.08,1.05,2018-02-01
2018,March,Europe,3 Series,4562,47884.0,218446808.0,0.023,19.96,3.92,0.99,2018-03-01
2018,March,Europe,5 Series,6007,61919.0,371947433.0,0.013,19.96,3.92,0.99,2018-03-01
2018,March,Europe,X3,8220,59791.0,491482020.0,0.039,19.96,3.92,0.99,2018-03-01
2018,March,Europe,X5,3801,68704.0,261143904.0,0.025,19.96,3.92,0.99,2018-03-01
2018,March,Europe,X7,11937,90815.0,1084058655.0,0.02,19.96,3.92,0.99,2018-03-01
2018,March,Europe,i4,7135,64527.0,460400145.0,0.016,19.96,3.92,0.99,2018-03-01
2018,March,Europe,iX,9366,73639.0,689702874.0,0.029,19.96,3.92,0.99,2018-03-01
2018,March,Europe,MINI,7760,40954.0,317803040.0,0.03,19.96,3.92,0.99,2018-03-01
2018,March,China,3 Series,6529,48074.0,313875146.0,0.029,15.71,1.63,0.98,2018-03-01
2018,March,China,5 Series,2997,63348.0,189853956.0,0.02,15.71,1.63,0.98,2018-03-01
2018,March,China,X3,8132,57504.0,467622528.0,0.034,15.71,1.63,0.98,2018-03-01
2018,March,China,X5,11545,67815.0,782924175.0,0.032,15.71,1.63,0.98,2018-03-01
2018,March,China,X7,11201,90016.0,1008269216.0,0.02,15.71,1.63,0.98,2018-03-01
2018,March,China,i4,10822,64243.0,695237746.0,0.019,15.71,1.63,0.98,2018-03-01
2018,March,China,iX,5175,73180.0,378706500.0,0.019,15.71,1.63,0.98,2018-03-01
2018,March,China,MINI,3416,43170.0,147468720.0,0.027,15.71,1.63,0.98,2018-03-01
2018,March,USA,3 Series,6483,47758.0,309615114.0,0.022,15.88,2.05,0.98,2018-03-01
2018,March,USA,5 Series,10129,60569.0,613503401.0,0.008,15.88,2.05,0.98,2018-03-01
2018,March,USA,X3,8736,59359.0,518560224.0,0.011,15.88,2.05,0.98,2018-03-01
2018,March,USA,X5,7165,69901.0,500840665.0,0.022,15.88,2.05,0.98,2018-03-01
2018,March,USA,X7,4604,91409.0,420847036.0,0.021,15.88,2.05,0.98,2018-03-01
2018,March,USA,i4,3612,66175.0,239024100.0,0.009,15.88,2.05,0.98,2018-03-01
2018,March,USA,iX,11655,76110.0,887062050.0,0.024,15.88,2.05,0.98,2018-03-01
2018,March,USA,MINI,8905,41705.0,371383025.0,0.013,15.88,2.05,0.98,2018-03-01
2018,March,RestOfWorld,3 Series,12337,49847.0,614962439.0,0.008,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,5 Series,10070,60399.0,608217930.0,0.025,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,X3,12829,57982.0,743851078.0,0.004,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,X5,3688,67050.0,247280400.0,0.04,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,X7,6895,92361.0,636829095.0,0.002,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,i4,11009,65352.0,719460168.0,0.024,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,iX,8004,75491.0,604229964.0,0.015,6.73,3.52,1.02,2018-03-01
2018,March,RestOfWorld,MINI,6186,41595.0,257306670.0,0.031,6.73,3.52,1.02,2018-03-01
2018,April,Europe,3 Series,3207,48914.0,156867198.0,0.016,14.6,3.55,0.96,2018-04-01
2018,April,Europe,5 Series,8992,62983.0,566343136.0,0.007,14.6,3.55,0.96,2018-04-01
2018,April,Europe,X3,9962,57081.0,568640922.0,0.007,14.6,3.55,0.96,2018-04-01
2018,April,Europe,X5,10860,70545.0,766118700.0,0.0,14.6,3.55,0.96,2018-04-01
2018,April,Europe,X7,10267,91931.0,943855577.0,0.019,14.6,3.55,0.96,2018-04-01
2018,April,Europe,i4,11118,64664.0,718934352.0,0.012,14.6,3.55,0.96,2018-04-01
2018,April,Europe,iX,3401,74119.0,252078719.0,0.019,14.6,3.55,0.96,2018-04-01
2018,April,Europe,MINI,9789,41141.0,402729249.0,0.028,14.6,3.55,0.96,2018-04-01
2018,April,China,3 Series,5550,46580.0,258519000.0,0.041,15.96,3.95,1.04,2018-04-01
2018,April,China,5 Series,9028,62294.0,562390232.0,0.022,15.96,3.95,1.04,2018-04-01
2018,April,China,X3,10098,56996.0,575545608.0,0.013,15.96,3.95,1.04,2018-04-01
2018,April,China,X5,9265,69744.0,646178160.0,0.007,15.96,3.95,1.04,2018-04-01
2018,April,China,X7,11338,91227.0,1034331726.0,0.024,15.96,3.95,1.04,2018-04-01
2018,April,China,i4,8661,65479.0,567113619.0,0.028,15.96,3.95,1.04,2018-04-01
2018,April,China,iX,8534,74757.0,637976238.0,0.007,15.96,3.95,1.04,2018-04-01
2018,April,China,MINI,6604,42070.0,277830280.0,0.019,15.96,3.95,1.04,2018-04-01
2018,April,USA,3 Series,4739,46515.0,220434585.0,0.052,14.11,2.68,1.02,2018-04-01
2018,April,USA,5 Series,5072,60335.0,306019120.0,0.021,14.11,2.68,1.02,2018-04-01
2018,April,USA,X3,7959,57931.0,461072829.0,0.032,14.11,2.68,1.02,2018-04-01
2018,April,USA,X5,8866,70746.0,627234036.0,0.025,14.11,2.68,1.02,2018-04-01
2018,April,USA,X7,4680,93498.0,437570640.0,0.022,14.11,2.68,1.02,2018-04-01
2018,April,USA,i4,7820,64291.0,502755620.0,0.017,14.11,2.68,1.02,2018-04-01
2018,April,USA,iX,9976,74066.0,738882416.0,0.025,14.11,2.68,1.02,2018-04-01
2018,April,USA,MINI,9711,40284.0,391197924.0,0.031,14.11,2.68,1.02,2018-04-01
2018,April,RestOfWorld,3 Series,2771,46825.0,129752075.0,0.02,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,5 Series,9659,61649.0,595467691.0,0.003,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,X3,2766,59068.0,163382088.0,0.019,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,X5,10798,70465.0,760881070.0,0.015,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,X7,8063,93760.0,755986880.0,0.027,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,i4,3440,64571.0,222124240.0,0.026,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,iX,7194,75710.0,544657740.0,0.025,5.64,2.51,1.01,2018-04-01
2018,April,RestOfWorld,MINI,9364,43807.0,410208748.0,0.005,5.64,2.51,1.01,2018-04-01
2018,May,Europe,3 Series,5143,47365.0,243598195.0,0.033,19.26,2.78,1.03,2018-05-01
2018,May,Europe,5 Series,6642,60698.0,403156116.0,0.02,19.26,2.78,1.03,2018-05-01
2018,May,Europe,X3,9201,59455.0,547045455.0,0.023,19.26,2.78,1.03,2018-05-01
2018,May,Europe,X5,7073,70577.0,499191121.0,0.019,19.26,2.78,1.03,2018-05-01
2018,May,Europe,X7,7586,91492.0,694058312.0,0.031,19.26,2.78,1.03,2018-05-01
2018,May,Europe,i4,9643,66636.0,642570948.0,0.041,19.26,2.78,1.03,2018-05-01
2018,May,Europe,iX,3483,76294.0,265732002.0,0.013,19.26,2.78,1.03,2018-05-01
2018,May,Europe,MINI,6867,41156.0,282618252.0,0.02,19.26,2.78,1.03,2018-05-01
2018,May,China,3 Series,6978,48539.0,338705142.0,0.024,18.94,3.32,1.05,2018-05-01
2018,May,China,5 Series,9078,63324.0,574855272.0,0.014,18.94,3.32,1.05,2018-05-01
2018,May,China,X3,3839,57416.0,220420024.0,0.006,18.94,3.32,1.05,2018-05-01
2018,May,China,X5,8966,69681.0,624759846.0,0.016,18.94,3.32,1.05,2018-05-01
2018,May,China,X7,11313,90510.0,1023939630.0,0.032,18.94,3.32,1.05,2018-05-01
2018,May,China,i4,9494,63216.0,600172704.0,0.015,18.94,3.32,1.05,2018-05-01
2018,May,China,iX,3632,76486.0,277797152.0,0.013,18.94,3.32,1.05,2018-05-01
2018,May,China,MINI,4094,42492.0,173962248.0,0.034,18.94,3.32,1.05,2018-05-01
2018,May,USA,3 Series,6429,47081.0,302683749.0,0.02,15.74,4.48,0.97,2018-05-01
2018,May,USA,5 Series,8663,60455.0,523721665.0,0.017,15.74,4.48,0.97,2018-05-01
2018,May,USA,X3,11006,57996.0,638303976.0,0.033,15.74,4.48,0.97,2018-05-01
2018,May,USA,X5,2853,68214.0,194614542.0,0.028,15.74,4.48,0.97,2018-05-01
2018,May,USA,X7,3829,90933.0,348182457.0,0.027,15.74,4.48,0.97,2018-05-01
2018,May,USA,i4,2501,65105.0,162827605.0,0.016,15.74,4.48,0.97,2018-05-01
2018,May,USA,iX,5820,73814.0,429597480.0,0.02,15.74,4.48,0.97,2018-05-01
2018,May,USA,MINI,6341,42933.0,272238153.0,0.024,15.74,4.48,0.97,2018-05-01
2018,May,RestOfWorld,3 Series,8255,49486.0,408506930.0,0.035,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,5 Series,5779,61396.0,354807484.0,0.03,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,X3,10025,59018.0,591655450.0,0.034,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,X5,3660,69783.0,255405780.0,0.013,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,X7,7184,90372.0,649232448.0,0.011,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,i4,11245,64371.0,723851895.0,0.018,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,iX,8853,76249.0,675032397.0,-0.001,5.15,3.84,0.97,2018-05-01
2018,May,RestOfWorld,MINI,2887,42779.0,123502973.0,0.015,5.15,3.84,0.97,2018-05-01
2018,June,Europe,3 Series,10562,49795.0,525934790.0,0.001,17.17,1.67,0.98,2018-06-01
2018,June,Europe,5 Series,5806,62799.0,364610994.0,0.024,17.17,1.67,0.98,2018-06-01
2018,June,Europe,X3,3766,56708.0,213562328.0,0.019,17.17,1.67,0.98,2018-06-01
2018,June,Europe,X5,4771,68944.0,328931824.0,0.026,17.17,1.67,0.98,2018-06-01
2018,June,Europe,X7,2759,90223.0,248925257.0,0.032,17.17,1.67,0.98,2018-06-01
2018,June,Europe,i4,10943,63062.0,690087466.0,0.015,17.17,1.67,0.98,2018-06-01
2018,June,Europe,iX,7067,74633.0,527431411.0,0.023,17.17,1.67,0.98,2018-06-01
2018,June,Europe,MINI,10742,40510.0,435158420.0,0.032,17.17,1.67,0.98,2018-06-01
2018,June,China,3 Series,4950,48818.0,241649100.0,0.036,20.05,2.89,1.0,2018-06-01
2018,June,China,5 Series,4356,63094.0,274837464.0,0.022,20.05,2.89,1.0,2018-06-01
2018,June,China,X3,10604,56082.0,594693528.0,0.029,20.05,2.89,1.0,2018-06-01
2018,June,China,X5,10719,69504.0,745013376.0,0.028,20.05,2.89,1.0,2018-06-01
2018,June,China,X7,9346,93843.0,877056678.0,0.012,20.05,2.89,1.0,2018-06-01
2018,June,China,i4,8871,63448.0,562847208.0,0.011,20.05,2.89,1.0,2018-06-01
2018,June,China,iX,8223,73770.0,606610710.0,-0.015,20.05,2.89,1.0,2018-06-01
2018,June,China,MINI,7549,41984.0,316937216.0,0.017,20.05,2.89,1.0,2018-06-01
2018,June,USA,3 Series,9948,46577.0,463347996.0,0.026,20.14,5.06,1.05,2018-06-01
2018,June,USA,5 Series,7733,62150.0,480605950.0,0.034,20.14,5.06,1.05,2018-06-01
2018,June,USA,X3,10319,58845.0,607221555.0,0.031,20.14,5.06,1.05,2018-06-01
2018,June,USA,X5,10452,69482.0,726225864.0,0.002,20.14,5.06,1.05,2018-06-01
2018,June,USA,X7,4214,91358.0,384982612.0,-0.0,20.14,5.06,1.05,2018-06-01
2018,June,USA,i4,8376,63541.0,532219416.0,0.04,20.14,5.06,1.05,2018-06-01
2018,June,USA,iX,8089,73796.0,596935844.0,0.039,20.14,5.06,1.05,2018-06-01
2018,June,USA,MINI,10497,40137.0,421318089.0,0.022,20.14,5.06,1.05,2018-06-01
2018,June,RestOfWorld,3 Series,7330,46204.0,338675320.0,0.02,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,5 Series,9645,63818.0,615524610.0,0.024,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,X3,4846,58895.0,285405170.0,-0.002,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,X5,9611,68994.0,663101334.0,0.04,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,X7,9384,91719.0,860691096.0,0.009,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,i4,12069,66266.0,799764354.0,0.025,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,iX,4825,74969.0,361725425.0,0.041,5.52,2.99,1.02,2018-06-01
2018,June,RestOfWorld,MINI,10204,43122.0,440016888.0,0.017,5.52,2.99,1.02,2018-06-01
2018,July,Europe,3 Series,8432,47968.0,404466176.0,0.028,14.62,2.18,0.98,2018-07-01
2018,July,Europe,5 Series,9253,62841.0,581467773.0,0.017,14.62,2.18,0.98,2018-07-01
2018,July,Europe,X3,8255,58397.0,482067235.0,0.013,14.62,2.18,0.98,2018-07-01
2018,July,Europe,X5,5109,67047.0,342543123.0,0.022,14.62,2.18,0.98,2018-07-01
2018,July,Europe,X7,5836,91715.0,535248740.0,0.022,14.62,2.18,0.98,2018-07-01
2018,July,Europe,i4,2661,63638.0,169340718.0,0.012,14.62,2.18,0.98,2018-07-01
2018,July,Europe,iX,2427,75125.0,182328375.0,0.044,14.62,2.18,0.98,2018-07-01
2018,July,Europe,MINI,2720,42713.0,116179360.0,0.017,14.62,2.18,0.98,2018-07-01
2018,July,China,3 Series,7951,47215.0,375406465.0,0.008,17.58,3.58,1.01,2018-07-01
2018,July,China,5 Series,10119,61654.0,623876826.0,0.003,17.58,3.58,1.01,2018-07-01
2018,July,China,X3,10834,58133.0,629812922.0,0.032,17.58,3.58,1.01,2018-07-01
2018,July,China,X5,9633,67125.0,646615125.0,0.022,17.58,3.58,1.01,2018-07-01
2018,July,China,X7,6775,91603.0,620610325.0,0.022,17.58,3.58,1.01,2018-07-01
2018,July,China,i4,9557,63066.0,602721762.0,0.029,17.58,3.58,1.01,2018-07-01
2018,July,China,iX,2595,73110.0,189720450.0,0.011,17.58,3.58,1.01,2018-07-01
2018,July,China,MINI,9920,43440.0,430924800.0,0.02,17.58,3.58,1.01,2018-07-01
2018,July,USA,3 Series,4977,47975.0,238771575.0,0.029,16.36,0.99,1.03,2018-07-01
2018,July,USA,5 Series,3207,61989.0,198798723.0,0.039,16.36,0.99,1.03,2018-07-01
2018,July,USA,X3,5996,58671.0,351791316.0,0.014,16.36,0.99,1.03,2018-07-01
2018,July,USA,X5,9011,70517.0,635428687.0,0.007,16.36,0.99,1.03,2018-07-01
2018,July,USA,X7,5923,92595.0,548440185.0,-0.005,16.36,0.99,1.03,2018-07-01
2018,July,USA,i4,11030,64246.0,708633380.0,0.027,16.36,0.99,1.03,2018-07-01
2018,July,USA,iX,2379,73003.0,173674137.0,0.024,16.36,0.99,1.03,2018-07-01
2018,July,USA,MINI,8042,40645.0,326867090.0,0.019,16.36,0.99,1.03,2018-07-01
2018,July,RestOfWorld,3 Series,7657,49097.0,375935729.0,0.023,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,5 Series,8375,63371.0,530732125.0,0.038,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,X3,8520,58187.0,495753240.0,0.026,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,X5,4320,69137.0,298671840.0,0.012,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,X7,4111,92892.0,381879012.0,0.028,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,i4,4299,65306.0,280750494.0,0.02,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,iX,5931,73260.0,434505060.0,0.013,6.45,2.99,1.01,2018-07-01
2018,July,RestOfWorld,MINI,8111,41673.0,338009703.0,-0.001,6.45,2.99,1.01,2018-07-01
2018,August,Europe,3 Series,5065,49621.0,251330365.0,0.019,18.77,2.4,1.02,2018-08-01
2018,August,Europe,5 Series,5690,63677.0,362322130.0,0.01,18.77,2.4,1.02,2018-08-01
2018,August,Europe,X3,11219,58635.0,657826065.0,0.022,18.77,2.4,1.02,2018-08-01
2018,August,Europe,X5,10128,68570.0,694476960.0,0.021,18.77,2.4,1.02,2018-08-01
2018,August,Europe,X7,4807,91855.0,441546985.0,0.025,18.77,2.4,1.02,2018-08-01
2018,August,Europe,i4,7569,66911.0,506449359.0,0.036,18.77,2.4,1.02,2018-08-01
2018,August,Europe,iX,10985,74314.0,816339290.0,0.028,18.77,2.4,1.02,2018-08-01
2018,August,Europe,MINI,6954,43236.0,300663144.0,0.026,18.77,2.4,1.02,2018-08-01
2018,August,China,3 Series,6390,48449.0,309589110.0,0.028,17.66,3.54,1.03,2018-08-01
2018,August,China,5 Series,8970,63762.0,571945140.0,0.003,17.66,3.54,1.03,2018-08-01
2018,August,China,X3,9788,58190.0,569563720.0,0.031,17.66,3.54,1.03,2018-08-01
2018,August,China,X5,11099,69712.0,773733488.0,0.012,17.66,3.54,1.03,2018-08-01
2018,August,China,X7,4457,91997.0,410030629.0,0.018,17.66,3.54,1.03,2018-08-01
2018,August,China,i4,5877,65151.0,382892427.0,0.028,17.66,3.54,1.03,2018-08-01
2018,August,China,iX,6192,75626.0,468276192.0,-0.003,17.66,3.54,1.03,2018-08-01
2018,August,China,MINI,3516,42601.0,149785116.0,0.034,17.66,3.54,1.03,2018-08-01
2018,August,USA,3 Series,10610,48597.0,515614170.0,0.022,18.34,3.34,0.99,2018-08-01
2018,August,USA,5 Series,3439,63068.0,216890852.0,0.022,18.34,3.34,0.99,2018-08-01
2018,August,USA,X3,3277,57857.0,189597389.0,0.016,18.34,3.34,0.99,2018-08-01
2018,August,USA,X5,6756,68658.0,463853448.0,0.016,18.34,3.34,0.99,2018-08-01
2018,August,USA,X7,4146,93230.0,386531580.0,0.03,18.34,3.34,0.99,2018-08-01
2018,August,USA,i4,8427,64900.0,546912300.0,0.015,18.34,3.34,0.99,2018-08-01
2018,August,USA,iX,8416,76719.0,645667104.0,0.021,18.34,3.34,0.99,2018-08-01
2018,August,USA,MINI,4627,42891.0,198456657.0,0.045,18.34,3.34,0.99,2018-08-01
2018,August,RestOfWorld,3 Series,4385,48070.0,210786950.0,0.008,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,5 Series,3148,60345.0,189966060.0,0.013,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,X3,10501,59005.0,619611505.0,0.023,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,X5,3309,70040.0,231762360.0,0.009,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,X7,9775,93051.0,909573525.0,0.026,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,i4,6603,66055.0,436161165.0,0.036,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,iX,6057,73603.0,445813371.0,0.012,6.43,4.33,1.06,2018-08-01
2018,August,RestOfWorld,MINI,8097,41013.0,332082261.0,0.025,6.43,4.33,1.06,2018-08-01
2018,September,Europe,3 Series,13086,46566.0,609362676.0,0.015,15.16,2.67,0.99,2018-09-01
2018,September,Europe,5 Series,9915,60935.0,604170525.0,0.03,15.16,2.67,0.99,2018-09-01
2018,September,Europe,X3,5728,56201.0,321919328.0,0.034,15.16,2.67,0.99,2018-09-01
2018,September,Europe,X5,6607,69360.0,458261520.0,0.013,15.16,2.67,0.99,2018-09-01
2018,September,Europe,X7,7383,92291.0,681384453.0,0.011,15.16,2.67,0.99,2018-09-01
2018,September,Europe,i4,3339,64625.0,215782875.0,0.022,15.16,2.67,0.99,2018-09-01
2018,September,Europe,iX,11520,73417.0,845763840.0,0.007,15.16,2.67,0.99,2018-09-01
2018,September,Europe,MINI,9889,43600.0,431160400.0,0.007,15.16,2.67,0.99,2018-09-01
2018,September,China,3 Series,4075,46709.0,190339175.0,0.02,20.39,2.56,1.0,2018-09-01
2018,September,China,5 Series,6679,61879.0,413289841.0,0.007,20.39,2.56,1.0,2018-09-01
2018,September,China,X3,9702,58713.0,569633526.0,0.013,20.39,2.56,1.0,2018-09-01
2018,September,China,X5,8896,70120.0,623787520.0,0.029,20.39,2.56,1.0,2018-09-01
2018,September,China,X7,3812,90147.0,343640364.0,0.02,20.39,2.56,1.0,2018-09-01
2018,September,China,i4,6821,63341.0,432048961.0,0.024,20.39,2.56,1.0,2018-09-01
2018,September,China,iX,8450,74792.0,631992400.0,0.02,20.39,2.56,1.0,2018-09-01
2018,September,China,MINI,4684,43212.0,202405008.0,0.022,20.39,2.56,1.0,2018-09-01
2018,September,USA,3 Series,5036,47500.0,239210000.0,0.043,19.6,1.64,0.94,2018-09-01
2018,September,USA,5 Series,12074,63215.0,763257910.0,0.014,19.6,1.64,0.94,2018-09-01
2018,September,USA,X3,10654,56987.0,607139498.0,0.034,19.6,1.64,0.94,2018-09-01
2018,September,USA,X5,8505,69161.0,588214305.0,-0.007,19.6,1.64,0.94,2018-09-01
2018,September,USA,X7,9126,93335.0,851775210.0,0.016,19.6,1.64,0.94,2018-09-01
